combination,AUROC_manchester,mean_AUROC,confidence_interval,TrueNeg_manchester,FalsePos_manchester,FalseNeg_manchester,TruePos_manchester,Sensitivity_manchester,Specificity_manchester,AUROC_partial,AUROC_severe,AUROC_gidleynoflat,TrueNeg_gidleynoflat,FalsePos_gidleynoflat,FalseNeg_gidleynoflat,TruePos_gidleynoflat,best_model_cv,model_intercept,model_coefficients,optimal_thresh
"['APTT', 'VWF', 'SERPIND1']",0.904,0.902,[0.805 - 0.969],35,11,1,22,0.957,0.761,0.889,0.929,0.962,7,6,0,4,LogisticRegression(),-0.7275136162169604,"[[0.8485562645439759, -1.676632290140405, 1.1300573175593251]]",0.3357118829326292
"['APTT', 'VWF', 'ICAM2']",0.879,0.881,[0.789 - 0.954],36,10,3,20,0.87,0.783,0.855,0.875,0.865,7,6,0,4,LogisticRegression(),-1.235690561585909,"[[0.975938747631175, -1.0236640734733367, 1.7501825616498496]]",0.380492041683056
"['APTT', 'VWF', 'APOC1']",0.878,0.878,[0.796 - 0.947],38,8,4,19,0.826,0.826,0.897,0.821,0.846,10,3,1,3,LogisticRegression(),0.18938756418843117,"[[0.9469611587680883, -1.5695737063648616, -1.1445704667635876]]",0.3582457774620882
"['APTT', 'VWF', 'SPP2']",0.874,0.875,[0.79 - 0.947],32,14,2,21,0.913,0.696,0.863,0.875,0.731,6,7,1,3,LogisticRegression(),-0.28862435098370004,"[[1.2346258003096113, -1.0062541697187362, -1.4478483243347684]]",0.3574341050218684
"['APTT', 'VWF', 'PLXDC2']",0.871,0.87,[0.765 - 0.956],39,7,4,19,0.826,0.848,0.832,0.964,0.788,10,3,1,3,LogisticRegression(),-0.9293834989759897,"[[1.0883693949837585, -1.5013666525679181, 1.1115275726469371]]",0.3720269876204339
"['APTT', 'VWF', 'TFRC']",0.868,0.868,[0.779 - 0.947],37,9,3,20,0.87,0.804,0.85,0.893,0.904,7,6,0,4,LogisticRegression(),-0.016396657747303017,"[[1.0769970657940724, -1.3988248754983392, -1.2900324331238133]]",0.3386570873742783
"['APTT', 'VWF', 'KRT2']",0.865,0.867,[0.768 - 0.95],43,3,5,18,0.783,0.935,0.838,0.911,0.808,11,2,3,1,LogisticRegression(),-0.1429802743594517,"[[0.9994165006560968, -1.5221638724083648, -0.916914834266537]]",0.3876014715458925
"['APTT', 'VWF', 'C4BPB']",0.868,0.867,[0.766 - 0.947],35,11,1,22,0.957,0.761,0.85,0.893,0.788,5,8,0,4,LogisticRegression(),-0.577993589009372,"[[0.9089817353684915, -1.633667958634315, 0.6851549800812345]]",0.3275392437057831
"['APTT', 'VWF', 'SCUBE3']",0.867,0.865,[0.772 - 0.94],37,9,5,18,0.783,0.804,0.829,0.893,0.885,7,6,0,4,LogisticRegression(),-0.7726552064202712,"[[0.8893340610838334, -1.5629110363652101, 1.1788534736862313]]",0.35146929220586925
"['APTT', 'VWF', 'SERPINA10']",0.862,0.862,[0.76 - 0.942],37,9,3,20,0.87,0.804,0.807,0.946,0.827,9,4,1,3,LogisticRegression(),-0.9998624010529165,"[[1.0411515389035484, -1.41360073628399, 1.2886630490304805]]",0.3601695210407003
